# Source: MiD 2023 scientific-use microdata (SUF B1, infas/DLR/IVT/infas 360), server-only raw
#   files MiD2023_Personen.csv / MiD2023_Wege.csv; generated by scripts/extract_mid_workday_location.py on 2026-09-05.
# Code state (ruling R7): eqasim-bs 4fa48cdd, module braunschweig/calibration/commute_day_state_reference.py.
# Table: mid2023_home_office_donor_pool.csv
# Universe (ruling R4): arbwo == 1 (reporting day is a weekday) AND M_HOFF == 1 (asked the
#   home-office module) AND P_STARB1 in (1, 2, 9) (worked / did not work / no answer). The
#   module/weekday filter alone still keeps ~100k not-applicable, filter-coded persons
#   (P_STARB1 codes such as 202/206/402/404/407 mean 'not employed'/'not asked'); the
#   P_STARB1 filter removes them -- see _mid_universe in commute_day_state_reference.py.
# States (ruling R4): did_not_work = P_STARB1 == 2; missing = P_STARB1 == 9 (no answer) or
#   an unmapped starb2 code (e.g. 99) among P_STARB1 == 1 workers; at_workplace = P_STARB1
#   == 1 & starb2 == 2; at_home = P_STARB1 == 1 & starb2 == 1; other_place = P_STARB1 == 1
#   & starb2 in (3, 4, 5, 96).
# Weight: P_GEW (person weight). Distance: P_ARB_ENTF (ruling R5) cleaned by
#   clean_mid_commute_distance_km in the module -- codes 996, 999 and every value >= 1000
#   (MiD filter/skip codes, e.g. 2202/2206/4402/4404/4407) become missing; 200.0 is a
#   legitimate top-code, classed 100_200.
# Classes (km): lt10 [0,10), 10_25, 25_50, 50_100, 100_200 (incl. the 200 top-code); gt200
#   cannot occur in MiD (the 200 km top-code always classes as 100_200); the donor-pool
#   table additionally emits a 'missing' distance_class row for invalid/absent P_ARB_ENTF.
# Bin convention & heaping (ruling R6): classes are LEFT-INCLUSIVE [a, b) (e.g. 10_25 is
#   [10, 25)), chosen by convention (spec wording, continuous model distances) and applied
#   IDENTICALLY on the donor (this table) and the model side. MiD self-reported P_ARB_ENTF
#   heaps on round numbers: counts and shares are both convention-sensitive -- class COUNTS
#   strongly (e.g. lt10 moves between 19,100 and 21,259 persons depending on the convention),
#   P_GEW-weighted class SHARES by up to the measured maximum absolute deviation -- see the
#   per-table stats below, measured on THIS extraction.
# Purpose: reference for the commute-day-state model (spec 2026-09-04); NOT a control target.
# Pool: weekday module persons who worked (P_STARB1 == 1) at home (starb2 == 1).
# has_children = any household member aged <= 13; has_active_escort = any trip with W_ZWECK == 6
# (Bringen/Holen); 'all' marks totals. n_mobile = donors with >= 1 trip; mean_trips_mobile over them;
# share_female weighted by P_GEW. Purpose: cell-size diagnostics for the home-office plan donor matching.
# Invalid/absent P_ARB_ENTF donors form a separate 'missing' distance_class row (1788 donors in this extraction); gt200 rows are emitted with zero counts because the MiD 200 km top-code makes gt200 impossible for this pool too.
distance_class,has_children,has_active_escort,n_donors,n_mobile,mean_trips_mobile,share_female
lt10,all,all,1860,1296,3.138117284,0.4328620605
lt10,False,False,1412,924,2.846320346,0.4265603122
lt10,False,True,57,57,4.140350877,0.2166282731
lt10,True,False,212,136,2.698529412,0.4770267339
lt10,True,True,179,179,4.659217877,0.563731713
10_25,all,all,1944,1320,3.087121212,0.4290905613
10_25,False,False,1349,849,2.744405183,0.4292144813
10_25,False,True,73,73,4.191780822,0.3822803982
10_25,True,False,319,195,2.502564103,0.4173933004
10_25,True,True,203,203,4.684729064,0.4823247466
25_50,all,all,1462,968,3.020661157,0.4590627633
25_50,False,False,1008,601,2.59234609,0.4640617634
25_50,False,True,58,58,4.120689655,0.4574129061
25_50,True,False,231,144,2.618055556,0.4090327767
25_50,True,True,165,165,4.545454545,0.5029853212
50_100,all,all,696,482,3.043568465,0.4477216756
50_100,False,False,500,314,2.71656051,0.478317503
50_100,False,True,39,39,4.051282051,0.3221609968
50_100,True,False,81,53,2.641509434,0.2445379848
50_100,True,True,76,76,4.157894737,0.5151544345
100_200,all,all,276,193,3.077720207,0.3467270366
100_200,False,False,202,128,2.609375,0.3623373145
100_200,False,True,10,10,3.9,0.3445743594
100_200,True,False,34,25,3.04,0.2888554953
100_200,True,True,30,30,4.833333333,0.3127304827
gt200,all,all,0,0,,
gt200,False,False,0,0,,
gt200,False,True,0,0,,
gt200,True,False,0,0,,
gt200,True,True,0,0,,
missing,all,all,1788,1162,3.104991394,0.3888118052
missing,False,False,1387,860,2.851162791,0.3875045036
missing,False,True,78,78,3.961538462,0.2903096862
missing,True,False,212,113,2.911504425,0.3522615454
missing,True,True,111,111,4.666666667,0.5611662639
all,all,all,8026,5421,3.087068806,0.4239374173
all,False,False,5858,3676,2.763057671,0.4253668013
all,False,True,315,315,4.085714286,0.3415821599
all,True,False,1089,666,2.668168168,0.3962335272
all,True,True,764,764,4.59947644,0.5072509732
